Film,Date,Year,Weekend,Gross
Hurry Sundown,2/19/1967,1967,7,2973684
Hurry Sundown,2/26/1967,1967,8,1975923
Hurry Sundown,3/5/1967,1967,9,863822
How to Succeed in Business Without Really Trying,3/12/1967,1967,10,2843944
In Like Flint,3/19/1967,1967,11,1763583
"Easy Come, Easy Go",3/26/1967,1967,12,3836824
Thoroughly Modern Millie,4/2/1967,1967,13,3777942
Double Trouble,4/9/1967,1967,14,3572573
Thoroughly Modern Millie,4/16/1967,1967,15,3534789
Thoroughly Modern Millie,4/23/1967,1967,16,2853852
Thoroughly Modern Millie,4/30/1967,1967,17,2674684
Welcome to Hard Times,5/7/1967,1967,18,2846785
For a Few Dollars More,5/14/1967,1967,19,3000000
Dont Look Back,5/21/1967,1967,20,2385583
The War Wagon,5/28/1967,1967,21,2538281
The War Wagon,6/4/1967,1967,22,2578674
The War Wagon,6/11/1967,1967,23,1973674
You Only Live Twice,6/18/1967,1967,24,3957974
The Dirty Dozen,6/25/1967,1967,25,3900684
The Dirty Dozen,7/2/1967,1967,26,3678893
The Dirty Dozen,7/9/1967,1967,27,3557485
The Big Mouth,7/16/1967,1967,28,2744385
The Dirty Dozen,7/23/1967,1967,29,2563683
The Dirty Dozen,7/30/1967,1967,30,2300732
In the Heat of the Night,8/6/1967,1967,31,3578684
Bonnie and Clyde,8/13/1967,1967,32,3674583
The Born Losers,8/20/1967,1967,33,3573844
The Born Losers,8/27/1967,1967,34,2378964
Bonnie and Clyde,9/3/1967,1967,35,2633754
Bonnie and Clyde,9/10/1967,1967,36,2589844
Bonnie and Clyde,9/17/1967,1967,37,2424693
Bonnie and Clyde,9/24/1967,1967,38,2194583
Bonnie and Clyde,10/1/1967,1967,39,2000000
Bonnie and Clyde,10/8/1967,1967,40,1947684
Bonnie and Clyde,10/15/1967,1967,41,1582564
The Jungle Book,10/22/1967,1967,42,4778309
The Jungle Book,10/29/1967,1967,43,4558693
Cool Hand Luke,11/5/1967,1967,44,3600357
The Jungle Book,11/12/1967,1967,45,3683683
The Jungle Book,11/19/1967,1967,46,3573694
The Jungle Book,11/26/1967,1967,47,3428894
Hells Angels on Wheels,12/3/1967,1967,48,3533683
The Jungle Book,12/10/1967,1967,49,3444684
Guess Who's Coming to Dinner,12/17/1967,1967,50,3683583
The Graduate,12/24/1967,1967,51,4944684
The Graduate,12/31/1967,1967,52,4000000
The Graduate,1/7/1968,1968,1,3763832
The Graduate,1/14/1968,1968,2,3542611
The Graduate,1/21/1968,1968,3,3247673
Firecreek,1/28/1968,1968,4,2900573
The Graduate,2/4/1968,1968,5,3000000
Planet of the Apes,2/11/1968,1968,6,3683823
Planet of the Apes,2/18/1968,1968,7,3384838
Planet of the Apes,2/25/1968,1968,8,3173536
Day of the Evil Gun,3/3/1968,1968,9,2763783
"Stay Away, Joe",3/10/1968,1968,10,3592683
"Stay Away, Joe",3/17/1968,1968,11,2582581
No Way to Treat a Lady,3/24/1968,1968,12,2572831
The Producers,3/31/1968,1968,13,2763389
2001: A Space Odyssey,4/7/1968,1968,14,3593630
2001: A Space Odyssey,4/14/1968,1968,15,3239584
2001: A Space Odyssey,4/21/1968,1968,16,3200572
"Yours, Mine and Ours",4/28/1968,1968,17,3637864
The Odd Couple,5/5/1968,1968,18,2683486
2001: A Space Odyssey,5/12/1968,1968,19,3572582
The Devil's Brigade,5/19/1968,1968,20,2763684
2001: A Space Odyssey,5/26/1968,1968,21,2852314
Bandolero!,6/2/1968,1968,22,2625683
2001: A Space Odyssey,6/9/1968,1968,23,2451763
Speedway,6/16/1968,1968,24,3186483
Rosemary's Baby,6/23/1968,1968,25,3835258
The Green Berets,6/30/1968,1968,26,3746405
Rosemary's Baby,7/7/1968,1968,27,2873673
"Don't Raise the Bridge, Lower the River",7/14/1968,1968,28,1638942
Rosemary's Baby,7/21/1968,1968,29,2375761
Rosemary's Baby,7/28/1968,1968,30,2285375
Hang 'Em High,8/4/1968,1968,31,3271589
Hang 'Em High,8/11/1968,1968,32,2735752
Targets,8/18/1968,1968,33,2947683
Targets,8/25/1968,1968,34,1572673
"Rachel, Rachel",9/1/1968,1968,35,2573683
"Rachel, Rachel",9/8/1968,1968,36,2285284
"Rachel, Rachel",9/15/1968,1968,37,1743753
Funny Girl,9/22/1968,1968,38,4836385
Funny Girl,9/29/1968,1968,39,4737902
Night of the Living Dead,10/6/1968,1968,40,3763489
Coogan's Bluff,10/13/1968,1968,41,3783486
Bullitt,10/20/1968,1968,42,4900562
"Live a Little, Love a Little",10/27/1968,1968,43,3983683
Ice Station Zebra,11/3/1968,1968,44,3745284
Head,11/10/1968,1968,45,3856572
Yellow Submarine,11/17/1968,1968,46,3875892
Lady in Cement,11/24/1968,1968,47,2953782
Funny Girl,12/1/1968,1968,48,3000000
Funny Girl,12/8/1968,1968,49,2900792
Oliver!,12/15/1968,1968,50,3674946
Once Upon a Time in the West,12/22/1968,1968,51,3264573
Oliver!,12/29/1968,1968,52,3932578
Oliver!,1/5/1969,1969,1,3893574
Oliver!,1/12/1969,1969,2,3853785
Oliver!,1/19/1969,1969,3,2937437
Oliver!,1/26/1969,1969,4,2578824
Oliver!,2/2/1969,1969,5,2134964
The Wrecking Crew,2/9/1969,1969,6,3482852
The Wrecking Crew,2/16/1969,1969,7,2835924
The Wrecking Crew,2/23/1969,1969,8,2627573
The Wrecking Crew,3/2/1969,1969,9,1853323
The Big Bounce,3/9/1969,1969,10,3128573
Charro!,3/16/1969,1969,11,3937678
Charro!,3/23/1969,1969,12,3764812
Support Your Local Sheriff!,3/30/1969,1969,13,3216385
"Goodbye, Columbus",4/6/1969,1969,14,3583785
"Goodbye, Columbus",4/13/1969,1969,15,3000000
"Goodbye, Columbus",4/20/1969,1969,16,1946543
"If It's Tuesday, This Must Be Belgium",4/27/1969,1969,17,2453583
"If It's Tuesday, This Must Be Belgium",5/4/1969,1969,18,1482573
"If It's Tuesday, This Must Be Belgium",5/11/1969,1969,19,1000000
"If It's Tuesday, This Must Be Belgium",5/18/1969,1969,20,572583
Midnight Cowboy,5/25/1969,1969,21,3930835
